,algorithm,percision,recall,f1_score,roc,fpr,tpr,accuracy
0,LinearSVC,0.7182077750933451,0.9984732824427481,0.8354624425140523,0.8703696263559663,0.2577340297308156,0.9984732824427481,0.8439355385920272
1,MultinomialNB,0.8177470775770457,0.9398473282442749,0.8745560448927404,0.9010204901566894,0.13780634793089594,0.9398473282442749,0.893008602932267
2,KNeighborsClassifier,0.8622019635343618,0.7508396946564886,0.8026766770034275,0.835946163117718,0.07894736842105263,0.7508396946564886,0.8535078153398764
